"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Profile Actions","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-09-2025","Facebook","Ontario International Airport","25,952","2","","1","1","6","24,280","102","1","0%","0","0","0","0","","1","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","2","0","3","0","","0","","","","","","","",""
"01-09-2025","Instagram","flyont","13,332","11","16","7","2","13","21,728","8,112","499","2.3%","455","6","20","","16","","","","","","","","","","","","","1","1","0","4","0","","","","","","","","","","","","","","","","","","","","","7","0","0","0","","","","","1","2",""
"01-09-2025","LinkedIn","Ontario International Airport","5,964","4","4","1","1","0","592","91","53","8.95%","11","0","1","41","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-09-2025","TikTok","'@flyontairport","3,398","1","","0","0","0","1,552","1,552","16","1.03%","14","0","2","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-09-2025","YouTube","FlyONT - Ontario International Airport","1,090","1","1","0","0","0","","206","3","","-1","0","3","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-10-2025","X","'@flyONT","6,377","1","1","0","0","3","133","0","1","0.75%","1","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","1","0","0","0","","","","","0","","0","","","","","","","",""
"01-10-2025","Facebook","Ontario International Airport","25,953","1","","0","0","0","13,024","101","49","0.38%","26","0","5","2","","16","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-10-2025","Instagram","flyont","13,342","10","10","2","0","21","16,544","7,923","530","3.2%","477","18","23","","12","","","","","","","","","","","","","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","14","0","2","1","","","","","0","2",""
"01-10-2025","LinkedIn","Ontario International Airport","5,973","7","7","0","0","0","679","77","57","8.39%","22","0","0","35","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-10-2025","TikTok","'@flyontairport","3,404","6","","0","0","0","1,537","1,537","35","2.28%","27","0","8","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-10-2025","YouTube","FlyONT - Ontario International Airport","1,090","0","0","0","0","0","","353","12","","10","0","2","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-11-2025","X","'@flyONT","6,377","0","0","0","0","2","23","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-11-2025","Facebook","Ontario International Airport","25,955","2","","0","0","0","626","56","10","1.6%","9","0","0","0","","1","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-11-2025","Instagram","flyont","13,348","6","16","0","0","5","11,462","7,940","344","3%","307","5","24","","8","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","1","1","","","","","0","1",""
"01-11-2025","LinkedIn","Ontario International Airport","5,973","1","1","0","0","0","279","53","28","10.04%","6","0","0","22","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-11-2025","TikTok","'@flyontairport","3,406","2","","0","0","0","2,848","2,848","27","0.95%","26","0","1","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-11-2025","YouTube","FlyONT - Ontario International Airport","1,090","-1","0","0","0","0","","241","1","","0","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-12-2025","X","'@flyONT","6,384","7","7","0","0","7","26","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","3","0","0","0","4","","","","","0","","0","","","","","","","",""
"01-12-2025","Facebook","Ontario International Airport","25,955","0","","0","0","0","672","97","5","0.74%","1","0","0","1","","3","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-12-2025","Instagram","flyont","13,355","7","8","1","1","10","13,222","7,934","334","2.53%","299","3","23","","9","","","","","","","","","","","","","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","4","0","2","0","","","","","0","1",""
"01-12-2025","LinkedIn","Ontario International Airport","5,977","3","3","0","0","0","328","54","19","5.79%","1","0","0","18","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-12-2025","TikTok","'@flyontairport","3,408","2","","0","0","1","2,894","2,894","34","1.17%","32","1","1","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","1"
"01-12-2025","YouTube","FlyONT - Ontario International Airport","1,090","-1","1","0","0","0","","242","7","","3","0","4","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-13-2025","X","'@flyONT","6,385","1","1","0","0","13","100","0","2","2%","0","0","0","0","","2","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","6","3","0","0","4","","","","","0","","0","","","","","","","",""
"01-13-2025","Facebook","Ontario International Airport","25,958","3","","0","0","1","710","101","6","0.85%","3","0","0","0","","3","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","0","0","0","0","","0","","","","","","","",""
"01-13-2025","Instagram","flyont","13,361","6","8","1","0","7","5,840","7,974","323","5.53%","292","1","22","","8","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","1","0","","","","","1","3",""
"01-13-2025","LinkedIn","Ontario International Airport","5,979","0","0","0","0","0","423","93","22","5.2%","5","0","0","17","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-13-2025","TikTok","'@flyontairport","3,408","0","","0","0","1","2,006","2,006","40","1.99%","36","1","3","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","1"
"01-13-2025","YouTube","FlyONT - Ontario International Airport","1,090","1","1","0","0","0","","190","5","","2","0","2","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-14-2025","X","'@flyONT","6,388","3","3","0","0","3","14","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","3","","","","","0","","0","","","","","","","",""
"01-14-2025","Facebook","Ontario International Airport","25,957","-1","","5","1","5","2,477","65","78","3.15%","17","6","2","4","","49","","0","","","","","1","0","4","0","0","","","","0","","","","","","","","","","","","","","","","","","0","5","0","0","0","","0","","","","","","","",""
"01-14-2025","Instagram","flyont","13,361","0","12","5","1","9","7,410","8,008","450","6.07%","417","3","19","","11","","","","","","","","","","","","","1","0","0","2","0","","","","","","","","","","","","","","","","","","","","","4","0","3","2","","","","","2","0",""
"01-14-2025","LinkedIn","Ontario International Airport","5,980","2","2","1","1","1","519","46","55","10.6%","14","1","0","40","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-14-2025","TikTok","'@flyontairport","3,409","1","","0","0","0","1,753","1,753","35","2%","33","0","2","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-14-2025","YouTube","FlyONT - Ontario International Airport","1,090","0","0","0","0","0","","208","5","","4","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
